No.,銘柄,ティッカー,セクター,終値,シグナル確率,判定,テクニカル,ファンダ,RSI,MACD判定,推奨保有,保有理由
1,ソニーフィナンシャルグループ,8729.T,保険業,140.0,0.6414012143922531,BUY,-2 (やや弱い),-,43.41453031255392,下落止まりつつある,中期(20日),中期的な値動きを見極める
2,NTT,9432.T,情報・通信業,149.5,0.6412524293572986,BUY,-4 (弱い),-,41.972377646870875,下落止まりつつある,中期(20日),中期的な値動きを見極める
3,上村工業,4966.T,化学,23320.0,0.5978745967322792,BUY,-3 (やや弱い),-,48.72682289505967,下落の勢い加速,中期(20日),中期的な値動きを見極める
4,レーザーテック,6920.T,電気機器,40130.0,0.5768509752532816,BUY,+1 (中立),-,49.22193754315293,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
5,日東紡績,3110.T,繊維製品,22670.0,0.5610253560701426,BUY,-2 (やや弱い),-,43.58802981662423,下落の勢い加速,中期(20日),中期的な値動きを見極める
6,石油資源開発,1662.T,鉱業,1789.0,0.5579350808620915,BUY,-2 (やや弱い),-,32.07574229127587,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
7,ディスコ,6146.T,電気機器,65090.0,0.5504961457458057,BUY,-5 (弱い),-,43.49883134884904,下落の勢い加速,中期(20日),中期的な値動きを見極める
8,SBI新生銀行,8303.T,銀行業,1398.0,0.5245932053061064,BUY,-3 (やや弱い),-,30.23975237078838,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
9,ゆうちょ銀行,7182.T,銀行業,3069.0,0.4971527724354512,-,+5 (強い),-,61.091185855032826,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
10,シンフォニアテクノロジー,6507.T,電気機器,13750.0,0.4715986926783299,-,-3 (やや弱い),-,47.52753844361714,下落の勢い加速,中期(20日),中期的な値動きを見極める
11,群馬銀行,8334.T,銀行業,2260.0,0.46034104873239334,-,+1 (中立),-,53.388262586258996,下落止まりつつある,中期(20日),上昇トレンド継続中、勢いに乗る
12,住友電気工業,5802.T,非鉄金属,12585.0,0.46021702836270745,-,+5 (強い),-,62.30648415570899,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
13,阪和興業,8078.T,卸売業,1893.0,0.4602149774543893,-,+4 (強い),-,75.71004583776259,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
14,メルカリ,4385.T,サービス業,4239.0,0.4581364401271842,-,+0 (中立),-,58.85673878115525,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
15,沖縄セルラー電話,9436.T,情報・通信業,3550.0,0.4545946887236151,-,+5 (強い),-,56.09535012001716,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
16,日本マイクロニクス,6871.T,電気機器,14740.0,0.4539676988051479,-,+1 (中立),-,53.643042298420475,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
17,コナミグループ,9766.T,情報・通信業,18930.0,0.45390579382524177,-,-5 (弱い),-,44.77513600422202,下落の勢い加速,中期(20日),中期的な値動きを見極める
18,日本電気硝子,5214.T,ガラス・土石製品,6532.0,0.4527874964098987,-,-2 (やや弱い),-,40.523564216281684,下落の勢い加速,中期(20日),中期的な値動きを見極める
19,フジクラ,5803.T,非鉄金属,4771.0,0.45219815518852563,-,-2 (やや弱い),-,42.53557178139418,下落の勢い加速,中期(20日),中期的な値動きを見極める
20,スルガ銀行,8358.T,銀行業,2317.0,0.45146530105206684,-,+1 (中立),-,53.32886480869464,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
21,三越伊勢丹ホールディングス,3099.T,小売業,3396.0,0.4450551825665455,-,+5 (強い),-,64.83984280939475,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
22,千葉銀行,8331.T,銀行業,2326.0,0.44348233387945246,-,+2 (やや強い),-,57.75729325779147,下落止まりつつある,中期(20日),上昇トレンド継続中、勢いに乗る
23,イオン,8267.T,小売業,1391.5,0.44266109578792434,-,+2 (やや強い),-,31.04017344571963,上昇の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
24,トライアルホールディングス,141A.T,小売業,2865.0,0.43859984650886646,-,-2 (やや弱い),-,32.33374410925606,下落の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
25,メタプラネット,3350.T,情報・通信業,291.0,0.4382752947739501,-,-5 (弱い),-,41.51281750556981,下落の勢い加速,中期(20日),中期的な値動きを見極める
26,三菱自動車工業,7211.T,輸送機器,371.5,0.4372376510660244,-,+7 (非常に強い),-,56.977310118340185,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
27,京葉銀行,8544.T,銀行業,2581.0,0.435104172562072,-,+4 (強い),-,70.98295571771511,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
28,りそなホールディングス,8308.T,銀行業,2039.5,0.433636999411789,-,+1 (中立),-,53.42892151791113,下落の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
29,光通信,9435.T,情報・通信業,36550.0,0.4334110396731819,-,+0 (中立),-,39.453557713143795,上昇の勢い加速,中期(20日),調整局面、回復を待ってリターン狙い
30,芝浦メカトロニクス,6590.T,電気機器,5180.0,0.43096427086931166,-,+4 (強い),-,53.45581570140726,上昇の勢い加速,中期(20日),上昇トレンド継続中、勢いに乗る
